idDriver;dtRef;dtLastSeen;dtFirstSeen;dtIntervalMaxMin;qtRaces;qtTeams;idTeam;qtLastSeenRace;avgGridPosition;medianGridPosition;avgPosition;medianPosition;totalPositionLift;avgPositionLift;medianPositionLift;pctPolePositition;pctPolewin;qtdPolePositition;qtdPolewin;avgGridPositionRaceFirst05;medianGridPositionRaceFirst05;avgPositionRaceFirst05;medianPositionRaceFirst05;totalPositionLiftRaceFirst05;avgPositionLiftRaceFirst05;medianPositionLiftRaceFirst05;pctPolePosititionRaceFirst05;pctPolewinRaceFirst05;avgGridPositionRaceFirst10;medianGridPositionRaceFirst10;avgPositionRaceFirst10;medianPositionRaceFirst10;totalPositionLiftRaceFirst10;avgPositionLiftRaceFirst10;medianPositionLiftRaceFirst10;pctPolePosititionRaceFirst10;pctPolewinRaceFirst10;avgGridPositionRaceLast10;medianGridPositionRaceLast10;avgPositionRaceLast10;medianPositionRaceLast10;totalPositionLiftRaceLast10;avgPositionLiftRaceLast10;medianPositionLiftRaceLast10;pctPolePosititionRaceLast10;pctPolewinRaceLast10;avgGridPositionRaceLast20;medianGridPositionRaceLast20;avgPositionRaceLast20;medianPositionRaceLast20;totalPositionLiftRaceLast20;avgPositionLiftRaceLast20;medianPositionLiftRaceLast20;pctPolePosititionRaceLast20;pctPolewinRaceLast20;avgGridPositionRaceLast40;medianGridPositionRaceLast40;avgPositionRaceLast40;medianPositionRaceLast40;totalPositionLiftRaceLast40;avgPositionLiftRaceLast40;medianPositionLiftRaceLast40;pctPolePosititionRaceLast40;pctPolewinRaceLast40
leclerc;2025-04-06;2025-04-06;2018-03-25;2569;152;2;ferrari;0;6.440789473684211;5.0;7.605263157894737;5.0;-177;-1.1644736842105263;0.0;0.17105263157894737;0.03289473684210526;26;5;16.6;18.0;12.0;12.0;23;4.6;5.0;0.0;0.0;14.5;14.0;12.6;11.0;19;1.9;3.5;0.0;0.0;6.8;5.5;5.3;4.0;15;1.5;1.0;0.0;0.0;6.0;5.5;5.8;4.0;4;0.2;0.0;0.15;0.05;4.725;4.0;6.025;4.0;-52;-1.3;-0.5;0.175;0.025
max_verstappen;2025-04-06;2025-04-06;2015-03-15;3675;212;2;red_bull;0;5.009433962264151;4.0;5.599056603773585;3.0;-125;-0.589622641509434;0.0;0.19339622641509435;0.15566037735849056;41;33;10.2;11.0;13.2;13.0;-15;-3.0;-3.0;0.0;0.0;10.8;10.0;12.7;14.0;-19;-1.9;-2.5;0.0;0.0;4.2;2.5;3.1;2.5;11;1.1;0.0;0.1;0.1;4.3;3.0;3.4;3.5;18;0.9;0.0;0.1;0.05;3.275;2.0;2.775;1.0;20;0.5;0.0;0.375;0.3
norris;2025-04-06;2025-04-06;2019-03-17;2212;131;1;mclaren;0;7.137404580152672;7.0;7.709923664122138;7.0;-75;-0.5725190839694656;0.0;0.07633587786259542;0.030534351145038167;10;4;9.8;9.0;12.8;12.0;-15;-3.0;-3.0;0.0;0.0;8.7;8.0;12.1;11.0;-34;-3.4;-3.0;0.0;0.0;2.2;1.5;3.5;2.0;-13;-1.3;0.0;0.5;0.3;2.85;2.0;4.05;2.5;-24;-1.2;0.0;0.45;0.2;4.3;3.0;4.375;3.0;-3;-0.075;0.0;0.225;0.1
ocon;2025-04-06;2025-04-06;2016-08-28;3143;159;5;haas;0;11.69182389937107;11.0;11.238993710691824;10.0;72;0.4528301886792453;1.0;0.0;0.0;0;0;20.0;20.0;17.8;18.0;11;2.2;3.0;0.0;0.0;19.7;20.0;16.3;17.0;34;3.4;3.5;0.0;0.0;14.3;14.0;13.4;14.0;9;0.9;1.0;0.0;0.0;13.9;14.0;13.45;14.0;9;0.45;0.0;0.0;0.0;13.75;14.0;13.225;13.5;21;0.525;0.5;0.0;0.0
piastri;2025-04-06;2025-04-06;2023-03-05;763;49;1;mclaren;0;7.1020408163265305;6.0;7.673469387755102;7.0;-28;-0.5714285714285714;0.0;0.02040816326530612;0.02040816326530612;1;1;14.2;16.0;14.6;15.0;-2;-0.4;-1.0;0.0;0.0;11.5;10.5;12.7;12.0;-12;-1.2;-1.5;0.0;0.0;5.5;4.5;5.7;6.0;-2;-0.2;0.0;0.1;0.1;4.8;4.0;4.35;3.5;9;0.45;0.5;0.05;0.05;5.9;5.0;6.325;5.0;-17;-0.425;0.0;0.025;0.025
russell;2025-04-06;2025-04-06;2019-03-17;2212;131;2;mercedes;0;10.13740458015267;9.0;10.374045801526718;10.0;-31;-0.2366412213740458;0.0;0.04580152671755725;0.015267175572519083;6;2;18.0;19.0;15.8;16.0;11;2.2;2.0;0.0;0.0;18.4;19.0;16.1;16.0;23;2.3;2.0;0.0;0.0;5.0;4.0;4.0;4.0;10;1.0;0.0;0.2;0.1;4.95;4.0;5.85;4.5;-18;-0.9;0.0;0.2;0.05;5.625;5.0;6.9;5.5;-51;-1.275;0.0;0.1;0.025
sainz;2025-04-06;2025-04-06;2015-03-15;3675;211;5;williams;0;8.791469194312796;8.0;9.341232227488153;8.0;-116;-0.5497630331753555;0.0;0.02843601895734597;0.014218009478672985;6;3;10.0;9.0;11.6;9.0;-8;-1.6;-2.0;0.0;0.0;10.3;10.5;12.7;12.5;-24;-2.4;-3.0;0.0;0.0;8.6;8.5;7.9;6.5;7;0.7;1.0;0.1;0.1;7.35;6.5;7.55;6.0;-4;-0.2;1.0;0.05;0.05;6.525;5.0;7.2;5.5;-27;-0.675;1.0;0.075;0.05
stroll;2025-04-06;2025-04-06;2017-03-26;2933;171;3;aston_martin;0;13.590643274853802;14.0;12.35672514619883;12.0;211;1.2339181286549707;2.0;0.005847953216374269;0.0;1;0;14.2;12.0;16.0;16.0;-9;-1.8;0.0;0.0;0.0;14.6;16.0;13.3;15.5;13;1.3;2.0;0.0;0.0;14.7;14.0;14.1;14.5;6;0.6;1.5;0.0;0.0;13.45;13.5;13.4;14.0;1;0.05;0.0;0.0;0.0;13.575;13.0;12.725;13.0;34;0.85;0.5;0.0;0.0
tsunoda;2025-04-06;2025-04-06;2021-03-28;1470;93;3;red_bull;0;12.720430107526882;13.0;13.516129032258064;14.0;-74;-0.7956989247311828;0.0;0.0;0.0;0;0;15.8;16.0;14.4;15.0;7;1.4;0.0;0.0;0.0;13.3;13.5;12.4;12.0;9;0.9;0.0;0.0;0.0;9.2;9.5;12.7;12.0;-35;-3.5;-4.0;0.0;0.0;11.0;11.0;13.7;13.5;-54;-2.7;-3.0;0.0;0.0;11.8;11.0;13.325;13.5;-61;-1.525;-1.5;0.0;0.0
albon;2025-03-23;2025-03-23;2019-03-17;2198;107;3;williams;0;11.682242990654206;12.0;11.80373831775701;12.0;-13;-0.12149532710280374;0.0;0.0;0.0;0;0;11.4;11.0;11.0;11.0;2;0.4;0.0;0.0;0.0;11.8;11.0;12.4;11.5;-6;-0.6;0.0;0.0;0.0;11.7;10.5;13.7;15.5;-20;-2.0;-0.5;0.0;0.0;12.3;10.5;13.7;14.5;-28;-1.4;0.0;0.0;0.0;12.125;13.0;13.075;12.5;-38;-0.95;0.0;0.0;0.0
